Chat,Clase
T2  Oriana 46797 Taller Capule Oriana/03-02-2026,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/03-10-2024,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/03-12-2025,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/04-02-2026,Facturación_Documentos
T2  Oriana 46797 Taller Capule Oriana/04-08-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/05-06-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/08-05-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/09-11-2024,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/10-02-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/11-11-2024,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/12-03-2026,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/12-05-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/13-03-2026,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/13-08-2024,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/15-11-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/16-04-2026,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/16-12-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/17-05-2024,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/17-09-2024,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/17-10-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/18-11-2025,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/20-01-2026,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/20-08-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/21-01-2026,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/21-03-2026,Facturación_Documentos
T2  Oriana 46797 Taller Capule Oriana/21-06-2025,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/21-08-2025,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/21-10-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/22-02-2024,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/23-03-2026,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/23-04-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/23-04-2026,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/24-01-2024,Facturación_Documentos
T2  Oriana 46797 Taller Capule Oriana/24-03-2026,Facturación_Documentos
T2  Oriana 46797 Taller Capule Oriana/24-04-2026,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/24-06-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/25-01-2025,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/26-09-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/27-10-2025,Soporte
T2  Oriana 46797 Taller Capule Oriana/29-01-2024,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/29-07-2024,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/29-08-2025,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/29-09-2025,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/30-01-2024,Confirmación_Estado
T2  Oriana 46797 Taller Capule Oriana/30-07-2024,Gestión de Pedidos/Entregas
T2  Oriana 46797 Taller Capule Oriana/30-10-2025,Facturación_Documentos
T2  Oriana 46797 Taller Capule Oriana/30-11-2024,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/31-10-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/02-09-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/03-09-2025,Cotización/Presupuesto
T2 44338_Chavez A_Victoria/05-06-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/05-11-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/05-12-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/06-02-2025,Cotización/Presupuesto
T2 44338_Chavez A_Victoria/06-06-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/06-10-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/07-01-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/07-02-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/07-03-2026,Interacción/Relacional
T2 44338_Chavez A_Victoria/08-12-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/09-01-2026,Interacción/Relacional
T2 44338_Chavez A_Victoria/10-01-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/10-03-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/10-12-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/12-01-2026,Interacción/Relacional
T2 44338_Chavez A_Victoria/12-08-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/13-05-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/15-04-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/15-09-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/16-04-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/17-07-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/17-09-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/17-12-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/18-03-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/18-04-2026,Facturación_Documentos
T2 44338_Chavez A_Victoria/18-06-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/18-08-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/19-02-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/19-03-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/19-06-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/19-08-2025,Cotización/Presupuesto
T2 44338_Chavez A_Victoria/19-11-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/20-01-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/20-03-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/20-06-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/20-08-2025,Cotización/Presupuesto
T2 44338_Chavez A_Victoria/20-10-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/21-04-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/21-08-2025,Cotización/Presupuesto
T2 44338_Chavez A_Victoria/22-01-2025,Interacción/Relacional
T2 44338_Chavez A_Victoria/22-04-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/22-04-2026,Confirmación_Estado
T2 44338_Chavez A_Victoria/23-04-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/25-04-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/25-08-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/26-08-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/27-01-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/27-02-2026,Confirmación_Estado
T2 44338_Chavez A_Victoria/27-08-2025,Facturación_Documentos
T2 44338_Chavez A_Victoria/28-04-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/28-08-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/29-01-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/29-01-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/29-08-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/30-01-2026,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/30-08-2025,Confirmación_Estado
T2 44338_Chavez A_Victoria/30-09-2025,Gestión de Pedidos/Entregas
T2 44338_Chavez A_Victoria/31-07-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/01-04-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/01-07-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/01-09-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/01-11-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/01-12-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/02-06-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/02-09-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/02-10-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/02-12-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/03-01-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/03-07-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/03-09-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/03-10-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/03-11-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/03-12-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/04-07-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/04-09-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/04-10-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/04-12-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/05-02-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/05-07-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/05-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/05-09-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/05-11-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/05-12-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/06-01-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/06-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/06-04-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/06-11-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/06-12-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/07-01-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/07-04-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/07-05-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/07-07-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/07-10-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/07-11-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/08-01-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/08-04-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/08-05-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/08-07-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/08-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/08-09-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/08-10-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/08-12-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/09-01-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/09-03-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/09-04-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/09-07-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/09-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/09-09-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/09-10-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/09-12-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/10-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/10-07-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/10-09-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/10-11-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/10-12-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/11-02-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/11-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/11-04-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/11-06-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/11-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/11-09-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/11-11-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/11-12-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/12-03-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/12-06-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/12-09-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/13-02-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/13-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/13-06-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/13-08-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/13-09-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/14-01-2026,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/14-02-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/14-04-2026,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/14-10-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/14-11-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/15-01-2026,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/15-04-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/15-07-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/15-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/15-10-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/16-01-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/16-02-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/16-04-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/16-05-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/16-06-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/16-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/17-01-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/17-05-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/17-06-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/18-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/18-06-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/18-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/18-09-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/18-11-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/18-12-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/19-01-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/19-02-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/19-03-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/19-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/19-09-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/19-12-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/20-01-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/20-08-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/21-07-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/21-08-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/21-10-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/21-11-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/22-01-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/22-04-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/22-07-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/22-08-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/22-12-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/23-01-2026,Interacción/Relacional
T2 45101 Vision C_ Cleam/23-06-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/23-09-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/23-10-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/24-06-2025,Seguimiento de Ventas
T2 45101 Vision C_ Cleam/24-10-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/24-11-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/24-12-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/25-02-2026,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/25-03-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/25-04-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/25-07-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/25-11-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/26-01-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/26-02-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/26-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/26-06-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/26-07-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/26-08-2025,Cotización/Presupuesto
T2 45101 Vision C_ Cleam/26-09-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/26-11-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/26-12-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/27-03-2026,Facturación_Documentos
T2 45101 Vision C_ Cleam/27-08-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/27-11-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/28-04-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/28-07-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/28-08-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/28-11-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/29-01-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/29-08-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/29-09-2025,Confirmación_Estado
T2 45101 Vision C_ Cleam/30-07-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/30-08-2025,Interacción/Relacional
T2 45101 Vision C_ Cleam/30-09-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/30-10-2025,Facturación_Documentos
T2 45101 Vision C_ Cleam/31-03-2026,Confirmación_Estado
T2 45101 Vision C_ Cleam/31-07-2025,Gestión de Pedidos/Entregas
T2 45101 Vision C_ Cleam/31-10-2025,Facturación_Documentos
T2 Daniela 46752/01-09-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/02-03-2026,Interacción/Relacional
T2 Daniela 46752/02-07-2025,Facturación_Documentos
T2 Daniela 46752/02-09-2025,Facturación_Documentos
T2 Daniela 46752/02-10-2024,Confirmación_Estado
T2 Daniela 46752/02-12-2025,Cotización/Presupuesto
T2 Daniela 46752/03-02-2026,Gestión de Pedidos/Entregas
T2 Daniela 46752/03-10-2025,Facturación_Documentos
T2 Daniela 46752/03-12-2024,Facturación_Documentos
T2 Daniela 46752/04-03-2026,Gestión de Pedidos/Entregas
T2 Daniela 46752/04-06-2025,Facturación_Documentos
T2 Daniela 46752/04-07-2025,Confirmación_Estado
T2 Daniela 46752/04-08-2025,Cancelación
T2 Daniela 46752/04-09-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/06-08-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/06-11-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/07-01-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/07-03-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/07-10-2024,Interacción/Relacional
T2 Daniela 46752/08-10-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/09-01-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/09-05-2025,Facturación_Documentos
T2 Daniela 46752/09-08-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/09-10-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/09-10-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/10-01-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/10-12-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/11-11-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/12-04-2025,Confirmación_Estado
T2 Daniela 46752/13-01-2026,Gestión de Pedidos/Entregas
T2 Daniela 46752/13-02-2026,Confirmación_Estado
T2 Daniela 46752/13-10-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/14-01-2026,Interacción/Relacional
T2 Daniela 46752/14-08-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/14-08-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/14-10-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/15-07-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/16-07-2025,Confirmación_Estado
T2 Daniela 46752/17-02-2026,Gestión de Pedidos/Entregas
T2 Daniela 46752/17-09-2025,Soporte
T2 Daniela 46752/17-12-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/18-02-2025,Interacción/Relacional
T2 Daniela 46752/19-06-2025,Interacción/Relacional
T2 Daniela 46752/20-08-2024,Gestión de Pedidos/Entregas
T2 Daniela 46752/21-03-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/21-08-2024,Facturación_Documentos
T2 Daniela 46752/21-10-2024,Confirmación_Estado
T2 Daniela 46752/21-11-2024,Interacción/Relacional
T2 Daniela 46752/22-10-2024,Cotización/Presupuesto
T2 Daniela 46752/22-12-2025,Facturación_Documentos
T2 Daniela 46752/23-12-2024,Interacción/Relacional
T2 Daniela 46752/24-04-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/25-04-2025,Facturación_Documentos
T2 Daniela 46752/25-04-2026,Facturación_Documentos
T2 Daniela 46752/26-11-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/27-01-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/27-03-2026,Gestión de Pedidos/Entregas
T2 Daniela 46752/27-05-2025,Interacción/Relacional
T2 Daniela 46752/27-09-2024,Interacción/Relacional
T2 Daniela 46752/27-11-2025,Interacción/Relacional
T2 Daniela 46752/28-03-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/28-07-2025,Interacción/Relacional
T2 Daniela 46752/28-10-2025,Confirmación_Estado
T2 Daniela 46752/29-09-2025,Gestión de Pedidos/Entregas
T2 Daniela 46752/31-01-2025,Facturación_Documentos
T2 Jaime 47559/02-01-2025,Facturación_Documentos
T2 Jaime 47559/02-09-2025,Interacción/Relacional
T2 Jaime 47559/03-01-2024,Cotización/Presupuesto
T2 Jaime 47559/03-01-2025,Facturación_Documentos
T2 Jaime 47559/03-10-2024,Cotización/Presupuesto
T2 Jaime 47559/05-02-2025,Interacción/Relacional
T2 Jaime 47559/05-03-2025,Interacción/Relacional
T2 Jaime 47559/05-08-2025,Confirmación_Estado
T2 Jaime 47559/05-11-2025,Confirmación_Estado
T2 Jaime 47559/05-12-2025,Facturación_Documentos
T2 Jaime 47559/06-06-2025,Cotización/Presupuesto
T2 Jaime 47559/07-01-2025,Facturación_Documentos
T2 Jaime 47559/07-01-2026,Interacción/Relacional
T2 Jaime 47559/07-06-2024,Facturación_Documentos
T2 Jaime 47559/08-04-2025,Interacción/Relacional
T2 Jaime 47559/08-08-2024,Interacción/Relacional
T2 Jaime 47559/08-08-2025,Confirmación_Estado
T2 Jaime 47559/09-01-2025,Facturación_Documentos
T2 Jaime 47559/09-03-2026,Cotización/Presupuesto
T2 Jaime 47559/09-07-2024,Interacción/Relacional
T2 Jaime 47559/09-10-2024,Confirmación_Estado
T2 Jaime 47559/10-02-2026,Interacción/Relacional
T2 Jaime 47559/10-03-2026,Gestión de Pedidos/Entregas
T2 Jaime 47559/10-04-2024,Interacción/Relacional
T2 Jaime 47559/10-04-2025,Interacción/Relacional
T2 Jaime 47559/10-06-2025,Facturación_Documentos
T2 Jaime 47559/10-09-2024,Interacción/Relacional
T2 Jaime 47559/10-09-2025,Cotización/Presupuesto
T2 Jaime 47559/10-10-2024,Cotización/Presupuesto
